customer_id,meter_id,reading_date,consumption_kwh
KH136,CT016,2024-01-27,50.0
KH126,CT999,2024-03-06,150.0
KH103,CT007,2024-02-29,75.0
KH113,CT009,2024-03-23,100.0
KH138,CT008,2024-01-15,50.0
KH102,CT006,2024-01-18,150.0
KH117,CT999,2024-04-19,100.0
KH115,CT014,2024-01-14,120.0
KH128,CT999,2024-01-08,120.0
KH107,CT008,2024-02-19,300.0
KH116,CT010,2024-02-08,75.0
KH131,CT014,2024-04-01,150.0
KH111,CT015,2024-02-21,120.0
KH120,CT019,2024-01-21,100.0
KH108,CT014,2024-02-27,100.0
KH118,CT003,2024-02-17,300.0
KH103,CT020,2024-03-17,50.0
KH129,CT016,2024-04-01,150.0
KH117,CT016,2024-01-17,75.0
KH138,CT999,2024-03-27,75.0
KH126,CT001,2024-02-03,300.0
KH115,CT999,2024-03-23,50.0
KH124,CT020,2024-01-10,50.0
KH110,CT016,2024-04-22,50.0
KH120,CT017,2024-02-03,50.0
KH116,CT999,2024-02-10,75.0
KH128,CT002,2024-01-07,50.0
KH130,CT999,2024-02-29,300.0
KH102,CT999,2024-03-12,300.0
KH107,CT004,2024-01-12,120.0
KH130,CT999,2024-03-25,50.0
KH103,CT999,2024-02-18,120.0
KH127,CT014,2024-03-19,100.0
KH103,CT018,2024-03-06,300.0
KH129,CT006,2024-01-06,100.0
KH139,CT009,2024-01-28,100.0
KH138,CT004,2024-03-09,300.0
KH107,CT999,2024-03-02,300.0
KH125,CT010,2024-01-18,50.0
KH115,CT014,2024-01-12,300.0
KH109,CT016,2024-01-15,75.0
KH128,CT016,2024-04-20,75.0
KH112,CT019,2024-01-07,50.0
KH127,CT006,2024-04-02,120.0
KH123,CT999,2024-01-27,100.0
KH105,CT016,2024-01-26,300.0
KH106,CT016,2024-01-31,50.0
KH101,CT009,2024-03-27,150.0
KH132,CT003,2024-02-25,75.0
KH122,CT018,2024-04-24,100.0
KH132,CT016,2024-03-23,150.0
KH115,CT011,2024-03-05,120.0
KH123,CT999,2024-03-26,150.0
KH133,CT014,2024-04-12,300.0
KH129,CT017,2024-02-26,50.0
KH133,CT003,2024-02-10,150.0
KH110,CT002,2024-04-07,100.0
KH128,CT012,2024-04-22,50.0
KH134,CT008,2024-02-08,150.0
KH136,CT999,2024-04-04,120.0
KH133,CT007,2024-02-28,100.0
KH127,CT014,2024-01-08,75.0
KH137,CT017,2024-04-21,300.0
KH132,CT999,2024-02-28,100.0
KH132,CT999,2024-01-28,50.0
KH123,CT012,2024-02-07,150.0
