customer_id,house_type,region
KH100,Chung Cư,Hà Nội
KH101,Biệt Thự,Hà Nội
KH102,Chung Cư,Hà Nội
KH103,Tập Thể,Tp. Hồ Chí Minh
KH104,Tập Thể,Bắc Ninh
KH105,Biệt Thự,Bắc Ninh
KH106,Chung Cư,Đà Nẵng
KH107,Tập Thể,Bắc Ninh
KH108,Tập Thể,Bắc Ninh
KH109,Chung Cư,Hà Nội
KH110,Biệt Thự,Hà Nội
KH111,Tập Thể,Hà Nội
KH112,Tập Thể,Bắc Ninh
KH113,Tập Thể,Bắc Ninh
KH114,Tập Thể,Bắc Ninh
KH115,Chung Cư,Đà Nẵng
KH116,Tập Thể,Đà Nẵng
KH117,Biệt Thự,Đà Nẵng
KH118,Chung Cư,Hà Nội
KH119,Biệt Thự,Đà Nẵng
KH120,Biệt Thự,Đà Nẵng
KH121,Tập Thể,Đà Nẵng
KH122,Tập Thể,Đà Nẵng
KH123,Nhà Phố,Tp. Hồ Chí Minh
KH124,Biệt Thự,Hà Nội
KH125,Biệt Thự,Hà Nội
KH126,Nhà Phố,Hà Nội
KH127,Chung Cư,Bắc Ninh
KH128,Tập Thể,Tp. Hồ Chí Minh
KH129,Tập Thể,Hà Nội
KH130,Tập Thể,Đà Nẵng
KH131,Chung Cư,Bắc Ninh
KH132,Nhà Phố,Đà Nẵng
KH133,Biệt Thự,Hà Nội
KH134,Biệt Thự,Đà Nẵng
KH135,Tập Thể,Hà Nội
KH136,Biệt Thự,Tp. Hồ Chí Minh
KH137,Biệt Thự,Đà Nẵng
KH138,Chung Cư,Hà Nội
KH139,Biệt Thự,Hà Nội
